tid	uid	text	date	gender	age	city	state	country	ethnicity	label
2313163193303764951	6462340367771503424	" não come mel , morde marimbondo "	2009-11-25	0	0	x	x	x	0	0
5970630239805620990	6462340367771503424	não tem pinto , tem orgulho !	2009-11-25	0	0	x	x	x	0	0
1755557927623196139	6462340367771503424	não vê essa merda de crepúsculo ! pra isso temos a cinebiografia do chuck norris ...	2009-11-25	0	0	x	x	x	0	0
4368154416364836119	6462340367771503424	não da tapa na bundinha , da cotovelada nas costas !	2009-11-25	0	0	x	x	x	0	0
-8438768653276016180	6462340367771503424	o diminutivo inho não acompanha a trajetória de um homem de verdade .	2009-11-25	0	0	x	x	x	0	1
9006228389243876749	6462340367771503424	uns tem saco , nós temos culhões ! ! !	2009-11-25	0	0	x	x	x	0	0
-534482127215805197	6462340367771503424	esse futebol de hoje " politicamente correto " e " profissional " não é coisa de homem de verdade ... é de mariquinha .. futebol tem que ter porrada	2009-11-26	0	0	x	x	x	0	1
-1856720173319588071	6462340367771503424	água ser essencial é coisa de maricas . cerveja é essencial !	2009-11-26	0	0	x	x	x	0	1
4884850257855219144	6462340367771503424	" ... não tem barriga tem calo sexual ... "	2009-11-26	0	0	x	x	x	0	0
587208452244442592	6462340367771503424	" ... não manda ajustar a calça , deixa um espaço pra sua smith & wesson entrar em ação . "	2009-11-26	0	0	x	x	x	0	0
8183982799341152906	6462340367771503424	morte aos hipsters a as camisetas de cores citricas , morte a meias coloridinhas e as cuequinhas alegres .	2009-11-26	0	0	x	x	x	0	0
5553049218317334441	6462340367771503424	user não tem namorada , tem fêmea temporária .	2009-11-26	0	0	x	x	x	0	1
-7476638407141953253	6462340367771503424	apesar de serem da australia , ac / dc é uma banda de homens de verdade !	2009-11-26	0	0	x	x	x	0	0
3493965940323353746	6462340367771503424	user come frango cru nao a " passarinho " !	2009-11-27	0	0	x	x	x	0	0
-5643466066293825660	6462340367771503424	fato : tem muita mulher que é muito mais user do que muito mariquinha fresco por ai !	2009-11-27	0	0	x	x	x	0	1
-7011812156837616296	6462340367771503424	user não usa capa de chuva , user nada em tsunami !	2009-11-27	0	0	x	x	x	0	1
-4707726286818239819	6462340367771503424	quem não gosta de ac / dc user e não é user !	2009-11-29	0	0	x	x	x	0	1
3099278620101148213	6462340367771503424	jamais confunda um homem porco a um user , um user sabe bem a hora de lavar as mãos !	2009-11-29	0	0	x	x	x	0	0
